watch_id,user_id,content_id,watch_time_minutes,watch_date,device
W117,1742,s7002,176,2025-03-22,Mobile
W118,1227,s8632,160,2025-10-13,Mobile
W119,725,s2762,174,2025-08-29,TV
W120,1126,s1403,65,2026-03-03,Laptop
W121,207,s167,38,2025-10-30,Laptop
W122,1496,s483,179,2026-02-10,Mobile
W123,1716,s6409,37,2025-11-10,Mobile
W124,1430,s3436,18,2026-02-19,Mobile
W125,1746,s61,111,2025-11-04,Tablet
W126,1879,s5099,19,2025-06-16,Laptop
W127,401,s6557,33,2025-12-20,TV
W128,1050,s8371,146,2025-10-27,Mobile
W129,1286,s4543,69,2025-06-13,Laptop
W130,598,s8592,64,2025-08-18,TV
W131,1533,s2035,28,2025-11-11,Tablet
W132,1229,s4038,30,2025-12-13,Tablet
W133,1816,s1238,112,2025-11-08,Tablet
W134,1956,s6849,160,2025-05-05,Mobile
W135,519,s8139,153,2025-04-16,Tablet
W136,1214,s3018,48,2025-03-13,TV
W137,604,s1330,53,2025-03-31,Mobile
W138,1149,s786,70,2025-07-29,Laptop
W139,1485,s8371,41,2025-11-13,TV
W140,1820,s6812,81,2026-03-07,Tablet
W141,9,s5175,47,2026-01-22,Mobile
W142,1194,s675,43,2025-06-23,TV
W143,411,s4385,70,2026-01-08,TV
W144,1492,s5627,154,2025-05-06,Mobile
W145,805,s6650,16,2026-01-16,Mobile
W146,400,s8522,152,2025-05-18,Laptop
W147,444,s5566,84,2025-10-01,Tablet
W148,433,s2351,140,2025-08-15,Mobile
W149,1221,s3666,119,2025-05-16,TV
W150,1420,s4677,14,2025-03-25,Tablet
W151,1213,s643,99,2026-03-04,Tablet
W152,641,s4574,64,2025-10-19,TV
W153,19,s549,35,2025-03-30,Laptop
W154,120,s3406,151,2025-06-19,Laptop
W155,440,s6078,26,2025-10-19,Mobile
W156,851,s8306,168,2025-08-15,TV
W157,360,s4581,145,2025-03-17,Mobile
W158,1584,s8055,108,2025-12-22,Mobile
W159,1408,s1982,34,2025-09-30,Tablet
W160,713,s2138,41,2026-02-09,Mobile
W161,1038,s769,123,2026-01-01,Mobile
W162,969,s3356,17,2025-11-12,Tablet
W163,1191,s5255,45,2025-12-14,Mobile
W164,727,s6196,107,2025-09-10,Laptop
W165,1491,s708,149,2025-07-29,Tablet
W166,1932,s8677,142,2025-09-02,Laptop
W167,1392,s8637,91,2025-06-25,Mobile
W168,1981,s7991,36,2025-06-02,Tablet
W169,1243,s5448,27,2026-01-30,Laptop
W170,1069,s2882,95,2025-11-22,TV
W171,638,s3637,172,2025-11-22,TV
W172,590,s662,115,2026-03-09,TV
W173,691,s8299,63,2025-06-23,Mobile
W174,1997,s8372,125,2025-08-27,Laptop
W175,1579,s1057,82,2025-12-15,Tablet
W176,1334,s5461,10,2026-01-24,Tablet
W177,281,s5710,15,2025-10-01,Laptop
W178,499,s8171,52,2025-04-14,Laptop
W179,7,s6795,176,2025-08-11,Tablet
W180,492,s470,83,2025-07-28,Laptop
W181,1462,s1931,63,2025-04-10,TV
W182,1581,s801,158,2025-09-22,TV
W183,807,s675,139,2025-06-14,TV
W184,1410,s2734,51,2025-12-12,Tablet
W185,1755,s2086,172,2025-05-23,Mobile
W186,825,s4003,91,2026-02-05,Tablet
W187,1833,s5920,113,2025-12-28,TV
W188,1842,s2721,45,2025-12-16,Mobile
W189,1719,s5092,128,2025-08-10,Laptop
W190,1002,s8396,176,2026-02-26,Mobile
W191,444,s6649,135,2026-02-25,Mobile
W192,47,s510,68,2025-05-31,TV
W193,1866,s4663,38,2025-09-26,Tablet
W194,703,s1658,92,2025-11-21,Tablet
W195,1923,s3285,24,2025-10-29,Laptop
W196,16,s85,40,2025-09-10,Tablet
W197,1783,s5502,75,2026-01-05,TV
W198,260,s6793,122,2025-03-18,Laptop
W199,1297,s7007,54,2026-01-13,TV
W200,245,s498,109,2026-01-21,Tablet
W201,1842,s85,36,2026-01-12,Tablet
W202,1888,s610,163,2025-03-11,TV
W203,948,s1082,86,2025-04-09,Mobile
W204,1582,s4764,139,2025-04-16,Laptop
W205,763,s8679,44,2025-03-23,Tablet
W206,1391,s3046,124,2025-12-18,TV
W207,35,s3565,48,2026-03-05,TV
W208,421,s3058,54,2025-04-10,Tablet
W209,1775,s2299,130,2025-10-23,Tablet
W210,21,s1312,160,2025-11-18,Laptop
W211,1189,s1182,161,2026-03-05,Laptop
W212,1018,s184,12,2026-02-12,TV
W213,1052,s1268,106,2026-02-21,Tablet
W214,30,s7959,139,2026-01-09,TV
W215,562,s781,155,2025-07-26,TV
W216,954,s6366,10,2025-06-01,Tablet
W217,1467,s980,135,2026-01-22,Tablet
W218,604,s819,74,2025-07-02,TV
W219,112,s436,35,2025-09-19,TV
W220,256,s1141,54,2025-11-02,TV
W221,585,s4365,82,2025-12-12,Tablet
W222,904,s6702,93,2025-10-28,TV
W223,263,s7117,119,2025-07-11,Tablet
W224,1152,s8594,167,2026-01-11,Laptop
W225,1234,s4484,166,2025-04-13,Laptop
W226,941,s6871,169,2025-04-03,TV
W227,1267,s7557,31,2025-09-20,TV
W228,593,s1818,143,2025-03-24,TV
W229,1329,s5460,120,2025-12-03,Laptop
W230,992,s2275,109,2025-04-28,Mobile
W231,764,s765,71,2025-04-09,TV
W232,1016,s7388,88,2025-12-12,Tablet
W233,156,s4195,127,2026-02-08,Tablet
W234,1839,s6748,58,2025-04-28,TV
W235,1480,s7386,19,2025-09-22,Mobile
W236,1527,s5236,131,2025-06-23,Mobile
W237,1852,s2844,53,2025-07-23,TV
W238,1758,s7341,66,2026-02-07,TV
W239,692,s8722,37,2025-04-24,Tablet
W240,1979,s647,130,2025-09-26,Mobile
W241,1146,s7826,134,2025-04-24,Laptop
W242,977,s3550,72,2025-10-27,Mobile
W243,379,s8170,47,2025-05-21,TV
W244,468,s1418,111,2025-10-05,Tablet
W245,766,s5048,120,2025-08-15,TV
W246,965,s5640,75,2026-01-31,Laptop
W247,199,s6186,57,2025-07-10,Mobile
W248,1852,s7726,74,2025-08-02,Mobile
W249,122,s7298,149,2025-11-07,Mobile
W250,397,s6068,47,2025-08-12,Tablet
W251,957,s8064,86,2025-10-23,Tablet
W252,155,s1245,172,2026-01-17,Laptop
W253,847,s6613,41,2026-01-06,Tablet
W254,446,s634,72,2025-12-08,Tablet
W255,739,s7320,90,2025-12-30,TV
W256,139,s2618,173,2025-07-18,Mobile
W257,1576,s1487,107,2025-06-01,Mobile
W258,1588,s3791,54,2025-06-07,Mobile
W259,1803,s7761,45,2025-06-28,Laptop
W260,232,s6027,11,2025-04-13,Laptop
W261,1843,s3923,166,2025-07-17,Mobile
W262,1195,s6652,114,2025-04-05,Mobile
W263,1725,s2700,75,2025-07-16,Tablet
W264,121,s4346,120,2025-05-23,Tablet
W265,83,s3830,78,2025-06-05,TV
W266,391,s2909,106,2025-03-22,Laptop
W267,55,s4197,179,2025-04-06,Mobile
W268,556,s3229,34,2025-08-11,TV
W269,420,s7012,79,2025-06-20,Laptop
W270,1232,s6106,86,2026-02-05,TV
W271,937,s5574,65,2025-11-18,Tablet
W272,1464,s5796,70,2025-11-03,TV
W273,1755,s6110,105,2025-08-25,Laptop
W274,1545,s6679,77,2025-05-10,Laptop
W275,378,s8051,158,2025-07-23,Mobile
W276,537,s3436,52,2025-09-28,Laptop
W277,1163,s7137,36,2025-08-20,Tablet
W278,133,s8424,101,2025-10-02,Laptop
W279,811,s3757,117,2025-09-26,Laptop
W280,1834,s464,103,2025-12-06,Mobile
W281,1541,s6938,42,2025-09-11,Tablet
W282,1937,s3298,152,2025-05-24,Mobile
W283,170,s8523,61,2025-11-17,Tablet
W284,55,s8415,48,2026-03-09,TV
W285,1478,s12,54,2025-11-13,Tablet
W286,1640,s3630,89,2025-05-09,Tablet
W287,383,s1320,72,2025-08-14,Mobile
W288,381,s3195,176,2026-01-06,Mobile
W289,871,s512,179,2025-06-23,Tablet
W290,375,s8428,172,2025-04-04,TV
W291,1764,s5420,79,2025-09-09,Laptop
W292,894,s1233,49,2026-03-06,Mobile
W293,71,s3325,171,2025-05-03,Tablet
W294,936,s2274,22,2025-04-20,Mobile
W295,1916,s4737,80,2025-08-26,TV
W296,1433,s1938,65,2025-10-25,TV
W297,1462,s5888,30,2025-12-03,TV
W298,1031,s6970,76,2025-07-03,Tablet
W299,551,s7088,169,2025-09-14,Laptop
W300,100,s7171,50,2025-09-01,TV
W301,1181,s1239,107,2025-08-13,Tablet
W302,1641,s356,43,2025-04-18,Laptop
W303,1391,s4803,61,2025-11-27,Mobile
W304,507,s664,36,2025-03-16,Laptop
W305,90,s6311,103,2025-12-01,Laptop
W306,621,s4360,82,2025-08-17,Laptop
W307,1812,s8,179,2025-05-30,TV
W308,282,s8066,75,2025-04-15,Mobile
W309,1232,s5462,179,2025-10-28,Laptop
W310,620,s5939,87,2025-04-22,Mobile
W311,1352,s3383,44,2026-02-19,Mobile
W312,1635,s8303,108,2025-07-04,Laptop
W313,211,s4038,92,2025-11-03,Laptop
W314,1956,s4,29,2025-06-28,Mobile
W315,1185,s1219,24,2025-11-02,TV
W316,1275,s6292,114,2025-11-02,Tablet
W317,163,s652,138,2025-03-21,Laptop
W318,1919,s1383,109,2025-11-16,TV
W319,1042,s6384,167,2026-01-12,Laptop
W320,1699,s1966,133,2025-06-14,Mobile
W321,1853,s2776,62,2025-03-30,Tablet
W322,1959,s7537,134,2025-09-07,Laptop
W323,1204,s4190,171,2026-02-21,Laptop
W324,829,s5191,37,2025-05-27,Laptop
W325,788,s3826,155,2025-11-14,Laptop
W326,1974,s3934,148,2025-10-26,Mobile
W327,446,s812,117,2025-05-14,Tablet
W328,1497,s3458,80,2025-09-16,Mobile
W329,1751,s3178,73,2026-02-08,Mobile
W330,1412,s7382,85,2025-11-15,Mobile
W331,1747,s2007,34,2025-07-04,TV
W332,836,s8545,53,2025-06-22,Mobile
W333,857,s381,115,2025-03-23,Laptop
W334,157,s3354,120,2025-09-26,TV
W335,1415,s3758,71,2026-02-27,TV
W336,1420,s7675,20,2025-08-01,TV
W337,1253,s6652,73,2026-02-05,TV
W338,686,s2838,98,2026-03-07,Tablet
W339,1281,s6856,37,2025-08-08,Mobile
W340,1898,s6605,36,2025-07-06,Tablet
W341,264,s5535,69,2025-06-23,TV
W342,1881,s8125,153,2025-09-17,Mobile
W343,1618,s3346,175,2025-09-14,Tablet
W344,1865,s4087,103,2025-10-17,Tablet
W345,719,s1182,59,2025-03-26,TV
W346,1715,s7524,146,2025-06-07,TV
W347,4,s3052,122,2025-11-27,Tablet
W348,452,s5921,96,2025-03-13,Mobile
W349,57,s3568,80,2025-10-28,Laptop
W350,417,s1040,141,2025-04-09,Laptop
W351,1642,s7437,90,2025-07-12,Tablet
W352,1846,s6676,29,2026-01-23,Laptop
W353,469,s89,64,2025-11-08,TV
W354,1960,s1804,132,2025-07-27,TV
W355,1078,s1592,152,2025-06-11,TV
W356,681,s2253,114,2025-09-26,Laptop
W357,99,s6073,108,2026-01-26,Tablet
W358,1125,s227,87,2025-06-05,TV
W359,1662,s3431,119,2025-03-14,Tablet
W360,1398,s2357,67,2025-08-26,TV
W361,366,s1688,87,2026-02-20,TV
W362,1159,s3458,34,2025-06-16,Laptop
W363,461,s2638,23,2025-08-04,Laptop
W364,320,s1498,113,2025-11-23,Mobile
W365,381,s6694,105,2025-09-18,Tablet
W366,666,s532,125,2025-08-29,TV
W367,394,s6981,92,2025-09-30,TV
W368,55,s8597,57,2025-09-15,Laptop
W369,999,s8216,89,2025-06-14,Mobile
W370,1583,s5588,120,2026-02-20,Mobile
W371,333,s5769,30,2026-02-04,Tablet
W372,637,s5760,47,2025-08-16,Laptop
W373,1194,s7614,45,2025-06-23,TV
W374,480,s188,141,2025-08-11,Mobile
W375,733,s5589,82,2026-02-23,Mobile
W376,1073,s4066,115,2025-09-13,Mobile
W377,494,s6515,110,2025-12-30,Tablet
W378,1654,s1817,162,2025-08-09,TV
W379,854,s6776,82,2025-04-30,TV
W380,638,s2092,167,2025-04-29,Mobile
W381,1775,s959,161,2025-06-21,Mobile
W382,1099,s3507,45,2025-11-04,TV
W383,1984,s946,125,2026-02-15,TV
W384,1025,s5371,108,2026-01-14,Mobile
W385,823,s5964,172,2025-08-08,TV
W386,151,s929,163,2025-05-08,Mobile
W387,633,s8357,34,2026-03-07,Tablet
W388,131,s3244,80,2025-09-30,Mobile
W389,219,s3633,110,2025-05-23,Tablet
W390,1721,s6231,97,2025-12-01,Tablet
W391,1022,s3437,50,2025-12-15,TV
W392,1729,s108,166,2026-01-30,Tablet
W393,272,s5423,68,2025-08-23,Tablet
W394,1376,s728,75,2025-04-15,Tablet
W395,1862,s7736,134,2025-09-15,Tablet
W396,839,s4361,96,2025-10-13,Tablet
W397,1230,s3755,122,2025-05-25,Mobile
W398,403,s1103,29,2025-03-15,Laptop
W399,666,s1463,11,2026-01-12,Tablet
W400,271,s7116,127,2025-11-17,Tablet
W401,1212,s6677,129,2025-10-30,Mobile
W402,27,s855,136,2025-06-12,Mobile
W403,962,s2615,88,2025-07-07,TV
W404,366,s2201,12,2026-02-05,Tablet
W405,1853,s985,119,2025-06-29,Tablet
W406,1141,s280,115,2025-07-31,Laptop
W407,1668,s912,75,2025-08-11,Mobile
W408,477,s4952,62,2025-10-10,TV
W409,15,s3728,97,2025-08-12,Mobile
W410,1663,s7054,119,2025-08-11,Mobile
W411,456,s7569,110,2025-10-28,Tablet
W412,502,s7017,94,2025-11-24,TV
W413,341,s2195,53,2026-01-03,Tablet
W414,587,s139,142,2026-02-12,Mobile
W415,1947,s8794,164,2025-07-06,Tablet
W416,1164,s2212,91,2025-12-18,TV
W417,1757,s5654,82,2025-09-12,Mobile
W418,1732,s5486,13,2025-10-09,Tablet
W419,1622,s7841,34,2025-06-29,TV
W420,1285,s4159,173,2025-11-05,Mobile
W421,205,s1578,37,2025-08-17,TV
W422,1432,s6723,127,2025-05-15,Laptop
W423,1510,s2848,21,2026-02-10,Mobile
W424,1710,s7790,12,2025-10-23,Tablet
W425,1708,s6969,76,2025-06-19,Tablet
W426,1692,s7715,145,2025-04-10,Laptop
W427,767,s5629,68,2026-01-05,TV
W428,221,s7634,157,2025-11-06,TV
W429,1961,s1201,90,2026-01-06,Mobile
W430,1872,s3516,88,2025-07-21,Mobile
W431,1237,s6514,85,2025-07-08,TV
W432,974,s2751,23,2025-10-27,Tablet
W433,797,s8226,33,2025-10-30,Mobile
W434,1733,s4608,171,2026-03-08,Mobile
W435,562,s527,59,2025-08-03,TV
W436,1921,s1562,164,2025-04-01,Tablet
W437,1822,s8027,32,2025-06-08,TV
W438,1093,s4977,119,2025-10-23,Mobile
W439,80,s4626,45,2025-06-14,Tablet
W440,223,s1282,12,2025-06-30,Tablet
W441,1736,s7622,16,2025-07-01,Mobile
W442,579,s898,95,2026-02-25,Mobile
W443,110,s7955,37,2025-12-05,Mobile
W444,1266,s4578,41,2025-03-27,TV
W445,67,s2967,56,2025-05-20,Laptop
W446,892,s6171,173,2025-05-27,Mobile
W447,193,s8214,41,2026-03-01,TV
W448,1478,s3373,97,2025-05-26,TV
W449,1403,s8197,43,2025-11-26,TV
W450,898,s2823,25,2025-12-14,TV
W451,1073,s512,113,2025-08-03,Mobile
W452,144,s1908,47,2025-11-17,Mobile
W453,165,s7934,166,2025-10-26,Laptop
W454,1614,s3362,153,2025-09-21,Mobile
W455,73,s3821,131,2025-11-22,TV
W456,1521,s1314,108,2026-01-12,Mobile
W457,1688,s6168,160,2025-04-22,Laptop
W458,1738,s8691,61,2025-08-28,Laptop
W459,445,s8364,138,2025-08-13,TV
W460,655,s7877,162,2025-05-01,TV
W461,62,s6129,119,2025-09-23,TV
W462,1190,s4294,43,2025-04-19,Laptop
W463,1171,s5210,63,2026-01-10,Tablet
W464,1560,s5780,166,2025-11-25,TV
W465,1257,s251,164,2025-12-28,Tablet
W466,388,s8671,145,2025-12-06,Mobile
W467,622,s7177,57,2025-04-02,Mobile
W468,761,s6272,33,2025-07-21,TV
W469,1726,s1529,158,2026-01-22,Tablet
W470,1354,s93,163,2025-04-11,Mobile
W471,1346,s5790,97,2025-06-27,TV
W472,296,s712,162,2026-01-17,Mobile
W473,725,s4504,162,2025-03-13,TV
W474,330,s543,124,2026-01-14,Mobile
W475,189,s6606,51,2025-12-28,Laptop
W476,22,s1252,110,2025-08-29,Mobile
W477,815,s8203,95,2025-09-20,Tablet
W478,1265,s4003,71,2026-01-12,Laptop
W479,405,s4613,135,2025-11-21,Mobile
W480,475,s2792,160,2025-12-15,Tablet
W481,1374,s2661,169,2025-08-15,TV
W482,316,s2327,62,2025-12-31,TV
W483,149,s8043,174,2025-08-17,Laptop
W484,1931,s237,56,2025-04-23,Laptop
W485,1793,s640,55,2025-10-19,TV
W486,558,s6913,105,2025-05-01,TV
W487,624,s6317,110,2025-05-31,Tablet
W488,73,s2632,58,2025-03-29,Tablet
W489,1570,s2047,150,2025-09-14,Mobile
W490,1564,s7127,10,2025-11-24,Mobile
W491,1713,s5154,83,2026-03-02,Tablet
W492,814,s8222,32,2025-06-23,Mobile
W493,747,s4374,168,2025-09-01,Mobile
W494,1728,s5804,36,2025-03-14,Laptop
W495,51,s4330,129,2026-01-03,Laptop
W496,1369,s4466,32,2025-08-05,Tablet
W497,1308,s2411,80,2025-07-18,TV
W498,1890,s4520,167,2025-08-03,Laptop
W499,1761,s4367,139,2025-08-13,Tablet
W500,1394,s2071,129,2025-04-20,Mobile
W501,956,s7777,32,2025-04-17,Mobile
W502,1785,s8485,91,2025-12-16,Tablet
W503,1736,s4638,148,2025-05-27,Tablet
W504,473,s5868,155,2025-10-26,Tablet
W505,1102,s2471,137,2026-01-30,Mobile
W506,1488,s6399,59,2025-08-29,Tablet
W507,831,s4558,161,2025-08-23,Tablet
W508,1194,s6205,131,2026-02-18,Tablet
W509,1593,s4196,119,2025-10-30,TV
W510,1991,s8218,126,2025-03-29,Tablet
W511,1049,s4831,89,2025-04-02,Tablet
W512,893,s2714,175,2025-10-07,Tablet
W513,1435,s2790,141,2025-10-31,TV
W514,778,s1333,155,2026-01-03,Tablet
W515,871,s7469,46,2025-05-03,TV
W516,820,s4822,105,2025-05-22,Mobile
W517,981,s1737,159,2026-01-07,Tablet
W518,1716,s2493,38,2025-09-05,Tablet
W519,1506,s3541,58,2025-07-04,Laptop
W520,264,s321,39,2025-11-09,Laptop
W521,1286,s6502,147,2025-03-15,Laptop
W522,437,s3987,165,2025-08-16,TV
W523,1105,s2265,68,2026-03-03,Laptop
W524,210,s3677,35,2026-03-04,TV
W525,415,s886,131,2025-04-19,TV
W526,623,s8253,87,2025-03-31,Mobile
W527,705,s15,35,2025-12-14,TV
W528,199,s5117,118,2025-09-26,Mobile
W529,608,s86,12,2025-08-04,Laptop
W530,946,s7334,142,2025-04-02,TV
W531,134,s2328,82,2025-04-17,Tablet
W532,101,s4578,12,2026-03-06,Mobile
W533,86,s1178,172,2025-06-21,Mobile
W534,836,s935,11,2025-10-30,Tablet
W535,299,s214,53,2025-07-31,Laptop
W536,757,s7162,133,2025-04-10,Mobile
W537,1935,s5533,129,2025-07-24,Mobile
W538,645,s6209,142,2025-07-25,Mobile
W539,1916,s4219,136,2025-07-10,Tablet
W540,46,s3441,39,2025-03-25,Laptop
W541,1449,s4887,43,2025-07-03,Laptop
W542,82,s6218,137,2026-01-28,Mobile
W543,1764,s2283,31,2026-01-08,Laptop
W544,714,s4487,16,2025-03-10,Tablet
W545,103,s2329,88,2025-09-29,Laptop
W546,49,s5609,78,2025-11-22,Laptop
W547,533,s6119,65,2025-12-24,Tablet
W548,932,s917,45,2025-07-07,Laptop
W549,1996,s6248,85,2025-08-04,Tablet
W550,1025,s2326,101,2025-04-05,Tablet
W551,988,s5456,154,2025-11-22,Laptop
W552,1961,s8686,62,2025-10-10,Mobile
W553,310,s2614,64,2025-03-10,Tablet
W554,919,s3515,160,2025-06-08,Tablet
W555,704,s6929,53,2025-03-12,Laptop
W556,460,s2208,105,2025-09-25,TV
W557,551,s2691,79,2025-06-03,TV
W558,42,s8392,56,2025-10-10,Laptop
W559,1917,s7615,39,2026-02-01,TV
W560,847,s8121,123,2025-12-06,Tablet
W561,1706,s7138,112,2026-01-24,TV
W562,1008,s4329,59,2025-11-05,Mobile
W563,1785,s1576,106,2025-06-24,TV
W564,188,s1121,14,2025-10-04,Laptop
W565,1430,s756,39,2026-03-06,Tablet
W566,1907,s1147,79,2025-08-01,Tablet
W567,459,s438,19,2026-02-28,TV
W568,1543,s7979,74,2026-03-05,Laptop
W569,1859,s7691,17,2026-03-08,Laptop
W570,645,s5287,155,2025-12-16,Mobile
W571,1458,s5069,143,2025-08-08,Mobile
W572,1079,s6350,69,2025-08-02,TV
W573,610,s1050,98,2025-07-10,Tablet
W574,1421,s3374,29,2026-02-14,TV
W575,164,s3520,127,2025-06-23,Laptop
W576,1617,s3013,136,2025-06-29,Laptop
W577,1869,s6614,74,2025-06-25,TV
W578,242,s1519,86,2025-12-13,Mobile
W579,996,s838,80,2025-05-23,Laptop
W580,1271,s2773,165,2025-12-31,Tablet
W581,1064,s6195,132,2026-02-18,Laptop
W582,309,s4377,131,2025-05-16,Mobile
W583,563,s344,75,2026-01-11,Tablet
W584,520,s4520,93,2025-05-23,TV
W585,854,s876,75,2025-09-06,Laptop
W586,1111,s4659,63,2025-10-03,Tablet
W587,1159,s788,24,2025-08-29,Laptop
W588,1939,s5233,19,2025-03-28,Mobile
W589,1462,s5112,180,2026-03-02,Mobile
W590,1702,s8566,63,2025-09-08,Laptop
W591,1395,s8482,140,2025-11-09,Laptop
W592,1206,s3262,11,2025-08-18,TV
W593,924,s5567,172,2025-12-29,Tablet
W594,117,s4431,169,2025-12-15,Mobile
W595,1519,s864,87,2026-01-01,Mobile
W596,1044,s2615,37,2025-09-23,TV
W597,1278,s5077,165,2025-08-28,Tablet
W598,876,s2773,117,2026-02-13,Mobile
W599,295,s4877,155,2025-04-12,TV
W600,766,s7210,51,2025-08-20,Laptop
W601,980,s1898,81,2025-10-16,Mobile
W602,1750,s3397,76,2026-02-28,TV
W603,199,s2124,77,2025-07-14,Laptop
W604,565,s8655,135,2025-03-09,Laptop
W605,183,s2753,174,2025-04-29,Laptop
W606,1270,s2490,55,2025-11-01,Tablet
W607,117,s5203,158,2026-01-10,Mobile
W608,1352,s709,120,2025-10-25,Laptop
W609,1075,s8138,155,2025-09-15,Tablet
W610,894,s2928,39,2025-09-22,Mobile
